City,Body_Type,Ownerno,Company,Model,Modelyear,Variantname,Price,Registration_Year,Insurance_Validity,Fuel_Type,Seats,Kms_Driven,Transmission,Year_Of_Manufacture,Engine,Mileage,Age_Old_In_Year
chennai,Sedan,1,Maruti,Ciaz,2015,1.4 AT,13.38472764187182,2015,Third Party,Petrol,5,40000,Automatic,2015,1373,19.12,9
chennai,SUV,1,Jeep,Compass,2021,1.4 Sport,14.40440771715042,2021,Comprehensive,Petrol,5,14037,Manual,2021,1368,14.3,3
chennai,Hatchback,1,Hyundai,i20,2019,Magna,13.521139497361697,2019,Comprehensive,Petrol,5,29000,Manual,2019,1197,18.6,5
chennai,Hatchback,1,Maruti,Baleno,2017,Zeta,13.335860551666734,2017,Third Party,Petrol,5,69864,Manual,2017,1197,21.4,7
chennai,Sedan,1,Hyundai,Xcent,2019,1.2 VTVT,13.38472764187182,2019,Third Party,Petrol,5,35739,Manual,2019,1197,20.14,5
chennai,Hatchback,2,Honda,Jazz,2016,1.2 V,13.122363377404328,2016,Third Party,Petrol,5,120000,Automatic,2016,1199,19.0,8
chennai,MUV,1,Maruti,Ertiga,2019,VDI,13.950915194970475,2019,Comprehensive,Diesel,7,18000,Manual,2019,1248,24.52,5
chennai,SUV,1,Tata,Harrier,2019,XZ,14.28551418721001,2019,Comprehensive,Diesel,5,21000,Manual,2019,1956,16.35,5
chennai,Hatchback,1,Maruti,Baleno,2016,Delta,13.199324418540456,2016,Comprehensive,Petrol,5,70404,Manual,2016,1197,21.4,8
chennai,Sedan,1,Volkswagen,Vento,2015,Highline,13.422467969854669,2015,Comprehensive,Petrol,5,63000,Manual,2015,1598,16.09,9
chennai,Sedan,2,Volkswagen,Ameo,2017,1.2 MPI,13.142164043914272,2017,Third Party,Petrol,5,88000,Manual,2017,1198,17.0,7
chennai,Sedan,1,Honda,City,2017,i-VTEC,13.62918097977278,2017,Comprehensive,Petrol,5,65000,Manual,2017,1497,17.4,7
chennai,SUV,2,Land Rover,Discovery Sport,2017,SD4 HSE,15.176487111099874,2017,Third Party,Diesel,7,30000,Automatic,2017,2179,12.51,7
chennai,Sedan,1,Honda,City,2012,V AT,13.142164043914272,2012,Comprehensive,Petrol,5,71423,Automatic,2012,1497,15.6,12
chennai,MUV,1,Maruti,XL6,2019,Alpha,13.997832114758229,2019,Third Party,Petrol,6,80000,Automatic,2019,1462,17.99,5
chennai,Sedan,1,Honda,City,2017,i VTEC,13.548937448722729,2017,Third Party,Petrol,5,85759,Manual,2017,1497,17.8,7
chennai,Hatchback,1,Hyundai,Santro,2019,Era,13.01477816672439,2019,Zero Dep,Petrol,5,24422,Manual,2019,1086,20.3,5
chennai,Sedan,4,Hyundai,Verna,2017,VTVT 1.6,13.527828485512494,2017,Third Party,Petrol,5,90000,Manual,2017,1591,17.0,7
chennai,Hatchback,2,Honda,Brio,2012,V MT,12.666657052859415,2012,Third Party,Petrol,5,67091,Manual,2012,1198,19.4,12
chennai,SUV,1,MG,Hector,2020,Sharp,14.26019637922572,2020,Third Party,Petrol,5,72787,Manual,2020,1451,15.81,4
chennai,SUV,2,Ford,Endeavour,2017,Trend,14.457364444136669,2017,Third Party,Diesel,7,120000,Manual,2017,2198,13.5,7
chennai,Hatchback,1,Hyundai,Grand i10,2017,1.2 Kappa,13.165422866864777,2017,Comprehensive,Petrol,5,90142,Manual,2017,1197,18.9,7
chennai,Hatchback,1,Hyundai,i20,2015,Asta,13.122363377404328,2015,Third Party,Petrol,5,150000,Manual,2015,1197,18.6,9
chennai,Hatchback,1,Ford,Freestyle,2018,Titanium,13.348701819615057,2018,Comprehensive,Petrol,5,33256,Manual,2018,1194,19.0,6
